tf.Tensor(72.80537, shape=(), dtype=float32)
tf.Tensor(72.73965, shape=(), dtype=float32)
tf.Tensor(72.661064, shape=(), dtype=float32)
tf.Tensor(72.58796, shape=(), dtype=float32)
tf.Tensor(72.5078, shape=(), dtype=float32)
tf.Tensor(72.421394, shape=(), dtype=float32)
tf.Tensor(72.341125, shape=(), dtype=float32)
tf.Tensor(72.2536, shape=(), dtype=float32)
tf.Tensor(72.16157, shape=(), dtype=float32)
tf.Tensor(72.07222, shape=(), dtype=float32)
tf.Tensor(71.98125, shape=(), dtype=float32)
tf.Tensor(71.874, shape=(), dtype=float32)
tf.Tensor(71.78555, shape=(), dtype=float32)
tf.Tensor(71.67548, shape=(), dtype=float32)
tf.Tensor(71.57505, shape=(), dtype=float32)
tf.Tensor(71.460785, shape=(), dtype=float32)
tf.Tensor(71.339745, shape=(), dtype=float32)
tf.Tensor(71.22045, shape=(), dtype=float32)
tf.Tensor(71.10311, shape=(), dtype=float32)
tf.Tensor(70.9811, shape=(), dtype=float32)
tf.Tensor(70.84664, shape=(), dtype=float32)
tf.Tensor(70.69959, shape=(), dtype=float32)
tf.Tensor(70.56734, shape=(), dtype=float32)
tf.Tensor(70.41549, shape=(), dtype=float32)
tf.Tensor(70.27137, shape=(), dtype=float32)
tf.Tensor(70.11039, shape=(), dtype=float32)
tf.Tensor(69.940155, shape=(), dtype=float32)
tf.Tensor(69.7699, shape=(), dtype=float32)
tf.Tensor(69.61053, shape=(), dtype=float32)
tf.Tensor(69.430664, shape=(), dtype=float32)
tf.Tensor(69.20865, shape=(), dtype=float32)
tf.Tensor(69.048225, shape=(), dtype=float32)
tf.Tensor(69.38872, shape=(), dtype=float32)
tf.Tensor(108.107834, shape=(), dtype=float32)
tf.Tensor(78.89401, shape=(), dtype=float32)
tf.Tensor(68.57939, shape=(), dtype=float32)
tf.Tensor(68.302185, shape=(), dtype=float32)
tf.Tensor(68.05605, shape=(), dtype=float32)
tf.Tensor(67.81124, shape=(), dtype=float32)
tf.Tensor(67.569885, shape=(), dtype=float32)
tf.Tensor(67.320526, shape=(), dtype=float32)
tf.Tensor(67.031654, shape=(), dtype=float32)
tf.Tensor(66.81234, shape=(), dtype=float32)
tf.Tensor(74.20783, shape=(), dtype=float32)
tf.Tensor(112.05892, shape=(), dtype=float32)
tf.Tensor(66.93077, shape=(), dtype=float32)
tf.Tensor(66.0352, shape=(), dtype=float32)
tf.Tensor(65.70525, shape=(), dtype=float32)
tf.Tensor(65.37005, shape=(), dtype=float32)
tf.Tensor(64.99787, shape=(), dtype=float32)
tf.Tensor(64.630844, shape=(), dtype=float32)
tf.Tensor(64.25919, shape=(), dtype=float32)
tf.Tensor(66.55384, shape=(), dtype=float32)
tf.Tensor(124.104965, shape=(), dtype=float32)
tf.Tensor(64.32672, shape=(), dtype=float32)
tf.Tensor(63.3869, shape=(), dtype=float32)
tf.Tensor(62.944992, shape=(), dtype=float32)
tf.Tensor(62.475628, shape=(), dtype=float32)
tf.Tensor(61.981846, shape=(), dtype=float32)
tf.Tensor(61.44476, shape=(), dtype=float32)
tf.Tensor(62.907433, shape=(), dtype=float32)
tf.Tensor(121.10391, shape=(), dtype=float32)
tf.Tensor(61.649635, shape=(), dtype=float32)
tf.Tensor(60.307884, shape=(), dtype=float32)
