tf.Tensor(72.74713, shape=(), dtype=float32)
tf.Tensor(72.68092, shape=(), dtype=float32)
tf.Tensor(72.60179, shape=(), dtype=float32)
tf.Tensor(72.52814, shape=(), dtype=float32)
tf.Tensor(72.447365, shape=(), dtype=float32)
tf.Tensor(72.360344, shape=(), dtype=float32)
tf.Tensor(72.279434, shape=(), dtype=float32)
tf.Tensor(72.1912, shape=(), dtype=float32)
tf.Tensor(72.098404, shape=(), dtype=float32)
tf.Tensor(72.00823, shape=(), dtype=float32)
tf.Tensor(71.916374, shape=(), dtype=float32)
tf.Tensor(71.80817, shape=(), dtype=float32)
tf.Tensor(71.71868, shape=(), dtype=float32)
tf.Tensor(71.60751, shape=(), dtype=float32)
tf.Tensor(71.50593, shape=(), dtype=float32)
tf.Tensor(71.39042, shape=(), dtype=float32)
tf.Tensor(71.268105, shape=(), dtype=float32)
tf.Tensor(71.14748, shape=(), dtype=float32)
tf.Tensor(71.02868, shape=(), dtype=float32)
tf.Tensor(70.90512, shape=(), dtype=float32)
tf.Tensor(70.76895, shape=(), dtype=float32)
tf.Tensor(70.62021, shape=(), dtype=float32)
tf.Tensor(70.48609, shape=(), dtype=float32)
tf.Tensor(70.33227, shape=(), dtype=float32)
tf.Tensor(70.18601, shape=(), dtype=float32)
tf.Tensor(70.02276, shape=(), dtype=float32)
tf.Tensor(69.850204, shape=(), dtype=float32)
tf.Tensor(69.67748, shape=(), dtype=float32)
tf.Tensor(69.51548, shape=(), dtype=float32)
tf.Tensor(69.33268, shape=(), dtype=float32)
tf.Tensor(69.10777, shape=(), dtype=float32)
tf.Tensor(68.94414, shape=(), dtype=float32)
tf.Tensor(69.28115, shape=(), dtype=float32)
tf.Tensor(107.996704, shape=(), dtype=float32)
tf.Tensor(78.780136, shape=(), dtype=float32)
tf.Tensor(68.463326, shape=(), dtype=float32)
tf.Tensor(68.18335, shape=(), dtype=float32)
tf.Tensor(67.93427, shape=(), dtype=float32)
tf.Tensor(67.68612, shape=(), dtype=float32)
tf.Tensor(67.441055, shape=(), dtype=float32)
tf.Tensor(67.1875, shape=(), dtype=float32)
tf.Tensor(66.89395, shape=(), dtype=float32)
tf.Tensor(66.66977, shape=(), dtype=float32)
tf.Tensor(74.059685, shape=(), dtype=float32)
tf.Tensor(111.905685, shape=(), dtype=float32)
tf.Tensor(66.77402, shape=(), dtype=float32)
tf.Tensor(65.87465, shape=(), dtype=float32)
tf.Tensor(65.540085, shape=(), dtype=float32)
tf.Tensor(65.19976, shape=(), dtype=float32)
tf.Tensor(64.82164, shape=(), dtype=float32)
tf.Tensor(64.44798, shape=(), dtype=float32)
tf.Tensor(64.068695, shape=(), dtype=float32)
tf.Tensor(66.355064, shape=(), dtype=float32)
tf.Tensor(123.89827, shape=(), dtype=float32)
tf.Tensor(64.114975, shape=(), dtype=float32)
tf.Tensor(63.16938, shape=(), dtype=float32)
tf.Tensor(62.72037, shape=(), dtype=float32)
tf.Tensor(62.242825, shape=(), dtype=float32)
tf.Tensor(61.739613, shape=(), dtype=float32)
tf.Tensor(61.19208, shape=(), dtype=float32)
tf.Tensor(62.643364, shape=(), dtype=float32)
tf.Tensor(120.82706, shape=(), dtype=float32)
tf.Tensor(61.36487, shape=(), dtype=float32)
tf.Tensor(60.01462, shape=(), dtype=float32)
tf.Tensor(59.414497, shape=(), dtype=float32)
tf.Tensor(58.820553, shape=(), dtype=float32)
tf.Tensor(58.197083, shape=(), dtype=float32)
tf.Tensor(63.281284, shape=(), dtype=float32)
tf.Tensor(115.11733, shape=(), dtype=float32)
tf.Tensor(57.55268, shape=(), dtype=float32)
tf.Tensor(56.612095, shape=(), dtype=float32)
tf.Tensor(55.863873, shape=(), dtype=float32)
tf.Tensor(55.29444, shape=(), dtype=float32)
tf.Tensor(86.80644, shape=(), dtype=float32)
tf.Tensor(74.778015, shape=(), dtype=float32)
tf.Tensor(54.04485, shape=(), dtype=float32)
tf.Tensor(52.985584, shape=(), dtype=float32)
tf.Tensor(53.449196, shape=(), dtype=float32)
tf.Tensor(108.23663, shape=(), dtype=float32)
tf.Tensor(53.08606, shape=(), dtype=float32)
tf.Tensor(50.852345, shape=(), dtype=float32)
tf.Tensor(49.89119, shape=(), dtype=float32)
tf.Tensor(52.062756, shape=(), dtype=float32)
tf.Tensor(108.19317, shape=(), dtype=float32)
tf.Tensor(48.90751, shape=(), dtype=float32)
tf.Tensor(47.663837, shape=(), dtype=float32)
tf.Tensor(46.594425, shape=(), dtype=float32)
tf.Tensor(50.78628, shape=(), dtype=float32)
tf.Tensor(107.84005, shape=(), dtype=float32)
tf.Tensor(45.43474, shape=(), dtype=float32)
tf.Tensor(44.32331, shape=(), dtype=float32)
tf.Tensor(43.23351, shape=(), dtype=float32)
tf.Tensor(42.11579, shape=(), dtype=float32)
tf.Tensor(124.62499, shape=(), dtype=float32)
tf.Tensor(45.14757, shape=(), dtype=float32)
tf.Tensor(41.52927, shape=(), dtype=float32)
tf.Tensor(40.447144, shape=(), dtype=float32)
tf.Tensor(39.360226, shape=(), dtype=float32)
tf.Tensor(63.579582, shape=(), dtype=float32)
tf.Tensor(69.52963, shape=(), dtype=float32)
tf.Tensor(37.905457, shape=(), dtype=float32)
tf.Tensor(36.88281, shape=(), dtype=float32)
tf.Tensor(60.737617, shape=(), dtype=float32)
tf.Tensor(64.53356, shape=(), dtype=float32)
tf.Tensor(35.560184, shape=(), dtype=float32)
tf.Tensor(34.49051, shape=(), dtype=float32)
tf.Tensor(36.600594, shape=(), dtype=float32)
tf.Tensor(93.4751, shape=(), dtype=float32)
tf.Tensor(33.6927, shape=(), dtype=float32)
tf.Tensor(32.746593, shape=(), dtype=float32)
tf.Tensor(32.558247, shape=(), dtype=float32)
tf.Tensor(70.24849, shape=(), dtype=float32)
tf.Tensor(36.94519, shape=(), dtype=float32)
tf.Tensor(30.70291, shape=(), dtype=float32)
tf.Tensor(30.36389, shape=(), dtype=float32)
tf.Tensor(68.68664, shape=(), dtype=float32)
tf.Tensor(35.218014, shape=(), dtype=float32)
tf.Tensor(29.051407, shape=(), dtype=float32)
tf.Tensor(28.349344, shape=(), dtype=float32)
tf.Tensor(31.249763, shape=(), dtype=float32)
tf.Tensor(71.741455, shape=(), dtype=float32)
tf.Tensor(28.037582, shape=(), dtype=float32)
tf.Tensor(27.121193, shape=(), dtype=float32)
tf.Tensor(26.962093, shape=(), dtype=float32)
tf.Tensor(39.924667, shape=(), dtype=float32)
tf.Tensor(47.08055, shape=(), dtype=float32)
tf.Tensor(26.549057, shape=(), dtype=float32)
tf.Tensor(25.623167, shape=(), dtype=float32)
tf.Tensor(26.917862, shape=(), dtype=float32)
tf.Tensor(52.02008, shape=(), dtype=float32)
tf.Tensor(27.695158, shape=(), dtype=float32)
tf.Tensor(24.726246, shape=(), dtype=float32)
tf.Tensor(24.233244, shape=(), dtype=float32)
tf.Tensor(24.84059, shape=(), dtype=float32)
tf.Tensor(47.470615, shape=(), dtype=float32)
tf.Tensor(28.477411, shape=(), dtype=float32)
tf.Tensor(23.612139, shape=(), dtype=float32)
tf.Tensor(23.213175, shape=(), dtype=float32)
tf.Tensor(22.890772, shape=(), dtype=float32)
tf.Tensor(23.20293, shape=(), dtype=float32)
tf.Tensor(42.671627, shape=(), dtype=float32)
tf.Tensor(29.110432, shape=(), dtype=float32)
tf.Tensor(22.329817, shape=(), dtype=float32)
tf.Tensor(22.173347, shape=(), dtype=float32)
tf.Tensor(21.982689, shape=(), dtype=float32)
tf.Tensor(21.902143, shape=(), dtype=float32)
tf.Tensor(25.172308, shape=(), dtype=float32)
tf.Tensor(34.863033, shape=(), dtype=float32)
tf.Tensor(24.554516, shape=(), dtype=float32)
tf.Tensor(21.37844, shape=(), dtype=float32)
tf.Tensor(21.142815, shape=(), dtype=float32)
tf.Tensor(20.856527, shape=(), dtype=float32)
tf.Tensor(20.717735, shape=(), dtype=float32)
tf.Tensor(20.765085, shape=(), dtype=float32)
tf.Tensor(24.468254, shape=(), dtype=float32)
tf.Tensor(30.574097, shape=(), dtype=float32)
tf.Tensor(22.392504, shape=(), dtype=float32)
tf.Tensor(20.347273, shape=(), dtype=float32)
tf.Tensor(19.971357, shape=(), dtype=float32)
tf.Tensor(19.929096, shape=(), dtype=float32)
tf.Tensor(19.95824, shape=(), dtype=float32)
tf.Tensor(19.911436, shape=(), dtype=float32)
tf.Tensor(20.569923, shape=(), dtype=float32)
tf.Tensor(21.485434, shape=(), dtype=float32)
tf.Tensor(22.031317, shape=(), dtype=float32)
tf.Tensor(21.00302, shape=(), dtype=float32)
tf.Tensor(20.302689, shape=(), dtype=float32)
tf.Tensor(19.84411, shape=(), dtype=float32)
tf.Tensor(19.851685, shape=(), dtype=float32)
tf.Tensor(19.86386, shape=(), dtype=float32)
tf.Tensor(19.612978, shape=(), dtype=float32)
tf.Tensor(19.145922, shape=(), dtype=float32)
tf.Tensor(18.98621, shape=(), dtype=float32)
tf.Tensor(18.775156, shape=(), dtype=float32)
tf.Tensor(19.33308, shape=(), dtype=float32)
tf.Tensor(19.961092, shape=(), dtype=float32)
tf.Tensor(20.081863, shape=(), dtype=float32)
tf.Tensor(18.99118, shape=(), dtype=float32)
tf.Tensor(18.697369, shape=(), dtype=float32)
tf.Tensor(18.230015, shape=(), dtype=float32)
tf.Tensor(18.132992, shape=(), dtype=float32)
tf.Tensor(17.98569, shape=(), dtype=float32)
tf.Tensor(17.942984, shape=(), dtype=float32)
tf.Tensor(17.794954, shape=(), dtype=float32)
tf.Tensor(17.760845, shape=(), dtype=float32)
tf.Tensor(17.658346, shape=(), dtype=float32)
tf.Tensor(17.566708, shape=(), dtype=float32)
tf.Tensor(17.60562, shape=(), dtype=float32)
tf.Tensor(17.489145, shape=(), dtype=float32)
tf.Tensor(17.481134, shape=(), dtype=float32)
tf.Tensor(17.409063, shape=(), dtype=float32)
tf.Tensor(17.387072, shape=(), dtype=float32)
tf.Tensor(17.376558, shape=(), dtype=float32)
tf.Tensor(17.63879, shape=(), dtype=float32)
tf.Tensor(17.527548, shape=(), dtype=float32)
tf.Tensor(17.74743, shape=(), dtype=float32)
tf.Tensor(17.565168, shape=(), dtype=float32)
tf.Tensor(17.191257, shape=(), dtype=float32)
tf.Tensor(16.891806, shape=(), dtype=float32)
tf.Tensor(16.85859, shape=(), dtype=float32)
tf.Tensor(16.767574, shape=(), dtype=float32)
tf.Tensor(16.74027, shape=(), dtype=float32)
tf.Tensor(16.659407, shape=(), dtype=float32)
tf.Tensor(16.562096, shape=(), dtype=float32)
tf.Tensor(16.61683, shape=(), dtype=float32)
tf.Tensor(16.51439, shape=(), dtype=float32)
tf.Tensor(16.455181, shape=(), dtype=float32)
tf.Tensor(16.39174, shape=(), dtype=float32)
tf.Tensor(16.327269, shape=(), dtype=float32)
tf.Tensor(16.360062, shape=(), dtype=float32)
tf.Tensor(16.305265, shape=(), dtype=float32)
tf.Tensor(16.232426, shape=(), dtype=float32)
tf.Tensor(16.200943, shape=(), dtype=float32)
tf.Tensor(16.11653, shape=(), dtype=float32)
tf.Tensor(16.108385, shape=(), dtype=float32)
tf.Tensor(16.093203, shape=(), dtype=float32)
tf.Tensor(15.987941, shape=(), dtype=float32)
tf.Tensor(15.9671755, shape=(), dtype=float32)
tf.Tensor(15.939034, shape=(), dtype=float32)
tf.Tensor(15.857853, shape=(), dtype=float32)
tf.Tensor(15.862093, shape=(), dtype=float32)
tf.Tensor(15.817757, shape=(), dtype=float32)
tf.Tensor(15.769913, shape=(), dtype=float32)
tf.Tensor(15.679987, shape=(), dtype=float32)
tf.Tensor(15.645523, shape=(), dtype=float32)
tf.Tensor(15.616129, shape=(), dtype=float32)
tf.Tensor(15.564389, shape=(), dtype=float32)
tf.Tensor(15.514849, shape=(), dtype=float32)
tf.Tensor(15.4976425, shape=(), dtype=float32)
tf.Tensor(15.45757, shape=(), dtype=float32)
tf.Tensor(15.440747, shape=(), dtype=float32)
tf.Tensor(15.385424, shape=(), dtype=float32)
tf.Tensor(15.323172, shape=(), dtype=float32)
tf.Tensor(15.3080435, shape=(), dtype=float32)
tf.Tensor(15.275449, shape=(), dtype=float32)
tf.Tensor(15.20166, shape=(), dtype=float32)
tf.Tensor(15.204003, shape=(), dtype=float32)
tf.Tensor(15.17057, shape=(), dtype=float32)
tf.Tensor(15.117025, shape=(), dtype=float32)
tf.Tensor(15.050328, shape=(), dtype=float32)
tf.Tensor(15.033484, shape=(), dtype=float32)
tf.Tensor(15.051866, shape=(), dtype=float32)
tf.Tensor(14.9844675, shape=(), dtype=float32)
tf.Tensor(14.915681, shape=(), dtype=float32)
tf.Tensor(14.906185, shape=(), dtype=float32)
tf.Tensor(14.890437, shape=(), dtype=float32)
tf.Tensor(14.855781, shape=(), dtype=float32)
tf.Tensor(14.798723, shape=(), dtype=float32)
tf.Tensor(14.796924, shape=(), dtype=float32)
tf.Tensor(14.742302, shape=(), dtype=float32)
tf.Tensor(14.692391, shape=(), dtype=float32)
tf.Tensor(14.659445, shape=(), dtype=float32)
tf.Tensor(14.643253, shape=(), dtype=float32)
tf.Tensor(14.618625, shape=(), dtype=float32)
tf.Tensor(14.566046, shape=(), dtype=float32)
tf.Tensor(14.550591, shape=(), dtype=float32)
tf.Tensor(14.551746, shape=(), dtype=float32)
tf.Tensor(14.503787, shape=(), dtype=float32)
tf.Tensor(14.477447, shape=(), dtype=float32)
tf.Tensor(14.464969, shape=(), dtype=float32)
tf.Tensor(14.37688, shape=(), dtype=float32)
tf.Tensor(14.363188, shape=(), dtype=float32)
tf.Tensor(14.335542, shape=(), dtype=float32)
tf.Tensor(14.317595, shape=(), dtype=float32)
tf.Tensor(14.275621, shape=(), dtype=float32)
tf.Tensor(14.250006, shape=(), dtype=float32)
tf.Tensor(14.22708, shape=(), dtype=float32)
tf.Tensor(14.194886, shape=(), dtype=float32)
tf.Tensor(14.142624, shape=(), dtype=float32)
tf.Tensor(14.162483, shape=(), dtype=float32)
tf.Tensor(14.107668, shape=(), dtype=float32)
tf.Tensor(14.094288, shape=(), dtype=float32)
tf.Tensor(14.059724, shape=(), dtype=float32)
tf.Tensor(14.042828, shape=(), dtype=float32)
tf.Tensor(14.01228, shape=(), dtype=float32)
tf.Tensor(13.983905, shape=(), dtype=float32)
tf.Tensor(13.952697, shape=(), dtype=float32)
tf.Tensor(13.926048, shape=(), dtype=float32)
tf.Tensor(13.904679, shape=(), dtype=float32)
tf.Tensor(13.891652, shape=(), dtype=float32)
tf.Tensor(13.84763, shape=(), dtype=float32)
tf.Tensor(13.832632, shape=(), dtype=float32)
tf.Tensor(13.8000555, shape=(), dtype=float32)
tf.Tensor(13.761969, shape=(), dtype=float32)
tf.Tensor(13.773462, shape=(), dtype=float32)
tf.Tensor(13.739719, shape=(), dtype=float32)
tf.Tensor(13.699967, shape=(), dtype=float32)
tf.Tensor(13.668703, shape=(), dtype=float32)
tf.Tensor(13.642298, shape=(), dtype=float32)
tf.Tensor(13.6343155, shape=(), dtype=float32)
tf.Tensor(13.613725, shape=(), dtype=float32)
tf.Tensor(13.579763, shape=(), dtype=float32)
tf.Tensor(13.555652, shape=(), dtype=float32)
tf.Tensor(13.527903, shape=(), dtype=float32)
tf.Tensor(13.522444, shape=(), dtype=float32)
tf.Tensor(13.485384, shape=(), dtype=float32)
tf.Tensor(13.448838, shape=(), dtype=float32)
tf.Tensor(13.44793, shape=(), dtype=float32)
tf.Tensor(13.415447, shape=(), dtype=float32)
tf.Tensor(13.391502, shape=(), dtype=float32)
tf.Tensor(13.382756, shape=(), dtype=float32)
tf.Tensor(13.369455, shape=(), dtype=float32)
tf.Tensor(13.326838, shape=(), dtype=float32)
tf.Tensor(13.3096075, shape=(), dtype=float32)
tf.Tensor(13.310222, shape=(), dtype=float32)
tf.Tensor(13.242162, shape=(), dtype=float32)
tf.Tensor(13.266214, shape=(), dtype=float32)
tf.Tensor(13.244347, shape=(), dtype=float32)
tf.Tensor(13.181519, shape=(), dtype=float32)
tf.Tensor(13.1945505, shape=(), dtype=float32)
tf.Tensor(13.139016, shape=(), dtype=float32)
tf.Tensor(13.14089, shape=(), dtype=float32)
tf.Tensor(13.090554, shape=(), dtype=float32)
tf.Tensor(13.092584, shape=(), dtype=float32)
tf.Tensor(13.052129, shape=(), dtype=float32)
tf.Tensor(13.068256, shape=(), dtype=float32)
tf.Tensor(13.037891, shape=(), dtype=float32)
tf.Tensor(13.010206, shape=(), dtype=float32)
tf.Tensor(13.002644, shape=(), dtype=float32)
tf.Tensor(12.941607, shape=(), dtype=float32)
tf.Tensor(12.921012, shape=(), dtype=float32)
tf.Tensor(12.923943, shape=(), dtype=float32)
tf.Tensor(12.927987, shape=(), dtype=float32)
tf.Tensor(12.883057, shape=(), dtype=float32)
tf.Tensor(12.866434, shape=(), dtype=float32)
tf.Tensor(12.8596325, shape=(), dtype=float32)
tf.Tensor(12.822574, shape=(), dtype=float32)
tf.Tensor(12.796837, shape=(), dtype=float32)
tf.Tensor(12.794812, shape=(), dtype=float32)
tf.Tensor(12.768703, shape=(), dtype=float32)
tf.Tensor(12.756046, shape=(), dtype=float32)
tf.Tensor(12.720394, shape=(), dtype=float32)
tf.Tensor(12.724717, shape=(), dtype=float32)
tf.Tensor(12.696946, shape=(), dtype=float32)
tf.Tensor(12.664255, shape=(), dtype=float32)
tf.Tensor(12.645903, shape=(), dtype=float32)
tf.Tensor(12.6667385, shape=(), dtype=float32)
tf.Tensor(12.638176, shape=(), dtype=float32)
tf.Tensor(12.587824, shape=(), dtype=float32)
tf.Tensor(12.571332, shape=(), dtype=float32)
tf.Tensor(12.57916, shape=(), dtype=float32)
tf.Tensor(12.53008, shape=(), dtype=float32)
tf.Tensor(12.547144, shape=(), dtype=float32)
tf.Tensor(12.531395, shape=(), dtype=float32)
tf.Tensor(12.486726, shape=(), dtype=float32)
tf.Tensor(12.502809, shape=(), dtype=float32)
tf.Tensor(12.450672, shape=(), dtype=float32)
